page,section,sort,slug,icon,color,title_en,title_es,body_en,body_es,url,extra
contribute,include,1,,users,brand,Meeting group,Grupo de reuniones,"“Meeting group name” and “GSO number”. Don’t know the number? Write the Registrar and he will gladly provide it. Group not registered with G.S.O.? Include the day, time, location and district number.","“Nombre del grupo” y “Número OSG”. ¿No sabes el número? Escribe al Registrador y con gusto te lo da. ¿El grupo no está registrado con la OSG? Incluye día, hora, lugar y número de distrito.",,
contribute,include,2,,map-location-dot,fuchsia,District,Distrito,“District #”.,“Distrito #”.,,
contribute,include,3,,user,teal,Individual,Individual,"“Personal” — name and city; for a birthday contribution, add years of sobriety.","“Vida personal” — nombre y ciudad; para cumpleaños, añade los años de sobriedad.",,
contribute,addresses,1,,envelope,brand,registrar@msca09aa.org,registrar@msca09aa.org,GSO number for your group,Número OSG de tu grupo,mailto:registrar@msca09aa.org,
contribute,addresses,2,,envelope,emerald,treasurerar@msca09aa.org,treasurerar@msca09aa.org,Treasurer A/R,Tesorero A/R,mailto:treasurerar@msca09aa.org,
contribute,addresses,3,,envelope,teal,treasurerap@msca09aa.org,treasurerap@msca09aa.org,Treasurer A/P,Tesorero A/P,mailto:treasurerap@msca09aa.org,
contribute,reading,1,,hand-holding-dollar,emerald,Self-Support: Where Money and Spirituality Mix,Automantenimiento: donde el dinero y la espiritualidad se mezclan,,,https://www.aa.org/self-support-where-money-and-spirituality-mix,
contribute,reading,2,,coins,teal,A.A. Contributions & Self-Support,Contribuciones y automantenimiento de A.A.,,,https://www.aa.org/aa-contributions-self-support,
contribute,reading,3,,link,fuchsia,The Twelve Traditions,Las Doce Tradiciones,,,https://www.aa.org/the-twelve-traditions,
anonymity,rules,1,,user-secret,fuchsia,Names,Nombres,"We publish a member’s first name and last initial only — on every page, in every data file and in every document we upload.","Publicamos solo el nombre de pila y la inicial del apellido de cualquier miembro — en cada página, en cada archivo de datos y en cada documento que subimos.",,
anonymity,rules,2,,envelope,brand,E-mail,Correo electrónico,Contact always runs through a role-based service address (for example registrar@msca09aa.org or d06dcmc@msca09aa.org). We never publish a member’s personal e-mail.,"El contacto siempre se hace por una dirección de servicio basada en el puesto (por ejemplo, registrar@msca09aa.org o d06dcmc@msca09aa.org). Nunca publicamos el correo personal de un miembro.",,
anonymity,rules,3,,phone-slash,rose,Phone numbers,Teléfonos,"We do not publish personal phone numbers. If a district needs a line, it should be a service number, not somebody’s mobile.","No publicamos números de teléfono personales. Si un distrito necesita una línea, debe ser un número de servicio, no el celular de alguien.",,
anonymity,rules,4,,camera,amber,Photographs,Fotos,We do not publish photographs in which an A.A. member’s face can be recognised.,No publicamos fotografías en las que se pueda reconocer el rostro de un miembro de A.A.,,
anonymity,rules,5,,file-shield,teal,Documents & flyers,Documentos y volantes,"Minutes, motions, agendas and event flyers are reviewed before posting to remove last names and personal contact details.","Las actas, mociones, agendas y volantes se revisan antes de publicarlos para quitar apellidos y datos de contacto personales.",,
anonymity,rules,6,,handshake-slash,violet,No affiliation,Sin afiliación,"We do not link to, or imply affiliation with, any outside enterprise, treatment centre, church or cause. Outbound links go to A.A. and A.A. service entities.","No enlazamos ni damos a entender afiliación con ninguna empresa, centro de tratamiento, iglesia o causa externa. Los enlaces salientes van a A.A. y a entidades de servicio de A.A.",,
anonymity,reading,1,,user-secret,fuchsia,A.A. and Anonymity,A.A. y el anonimato,,,https://www.aa.org/aa-and-anonymity,
anonymity,reading,2,,envelope-open-text,brand,Anonymity letter to the media,Carta a los medios,,,https://www.aa.org/anonymity-letter-to-media,
anonymity,reading,3,,link,violet,The Twelve Traditions,Las Doce Tradiciones,,,https://www.aa.org/the-twelve-traditions,
anonymity,reading,4,,shield-heart,teal,Safety and A.A.,Seguridad y A.A.,,,https://www.aa.org/safety-and-aa-flyer,
contact,submit,1,,1,brand,Gather the essentials,Reúne lo esencial,"Date, time, place, who is hosting, and a service e-mail for questions. No last names, no personal e-mail addresses, no personal phone numbers.","Fecha, hora, lugar, quién es anfitrión, y una dirección de servicio de contacto. Sin apellidos, sin correos personales, sin teléfonos personales.",,
contact,submit,2,,2,fuchsia,"Send the words, not just the flyer","Manda el texto, no solo el volante",Paste the flyer’s text into the body of the e-mail. That lets us put it on the page so it is searchable and readable on a phone — attach the flyer as well if you like.,Copia el texto del volante en el cuerpo del correo. Así podemos ponerlo en la página para que se pueda buscar y leer en un teléfono — y adjunta el volante también si quieres.,,
contact,submit,3,,3,orange,Send it to webmaster@msca09aa.org,Envíalo a webmaster@msca09aa.org,"You will get an acknowledgement. If you have not heard back within a week, write the Area Chair.","Te confirmamos la recepción. Si no tienes respuesta en una semana, escribe al Coordinador del Área.",,
contact,addresses,1,,envelope,brand,registrar@msca09aa.org,registrar@msca09aa.org,Group & G.S.R. records,Registro de grupos y R.S.G.,mailto:registrar@msca09aa.org,
contact,addresses,2,,envelope,brand,contributions@msca09aa.org,contributions@msca09aa.org,Seventh Tradition,Séptima Tradición,mailto:contributions@msca09aa.org,
contact,addresses,3,,envelope,brand,webmaster@msca09aa.org,webmaster@msca09aa.org,Website,Sitio web,mailto:webmaster@msca09aa.org,
contact,addresses,4,,envelope,brand,technologychair@msca09aa.org,technologychair@msca09aa.org,Technology / Zoom,Tecnología / Zoom,mailto:technologychair@msca09aa.org,
contact,addresses,5,,envelope,brand,editor@msca09aa.org,editor@msca09aa.org,Newsletter,Boletín,mailto:editor@msca09aa.org,
about,facts,1,,layer-group,brand,Panel,Panel,76 · 2026–2027,76 · 2026–2027,,
about,facts,2,,compass,fuchsia,Region,Región,Pacific Region,Región del Pacífico,,
about,facts,3,,map-location-dot,teal,Districts,Distritos,{districts},{districts},,
about,facts,4,,mountain-sun,amber,Counties,Condados,Orange · Riverside · San Bernardino · Los Angeles,Orange · Riverside · San Bernardino · Los Ángeles,,
about,facts,5,,envelope,emerald,Mail,Correo,"P.O. Box 51446, Irvine, CA 92619-1446","P.O. Box 51446, Irvine, CA 92619-1446",,
