group,title,title_es,url,description,description_es,icon
General Service,Regional & Local Forums,Foros Regionales y Locales,https://www.aa.org/regional-local-and-special-forums,Weekend sharing sessions with the General Service Board.,Sesiones de comparticion con la Junta de Servicios Generales.,comments
General Service,Area web sites (U.S. & Canada),Sitios de las Areas,https://www.aa.org/list-of-general-service-conference-area-web-sites-uscanada,"Every General Service Conference area, listed by G.S.O.","Cada area de la Conferencia, listada por la O.S.G.",map
General Service,PRAASA,PRAASA,https://praasa.org/,Pacific Region A.A. Service Assembly.,Asamblea de Servicio de A.A. de la Region del Pacifico.,mountain-sun
Anonymity & Safety,A.A. and Anonymity,A.A. y el Anonimato,https://www.aa.org/aa-and-anonymity,"Why we keep last names off of press, radio, film and the internet.",Por que no usamos apellidos en la prensa ni en internet.,user-secret
Anonymity & Safety,Anonymity Letter to the Media,Carta a los Medios,https://www.aa.org/anonymity-letter-to-media,The letter G.S.O. sends when A.A. is covered publicly.,La carta que la O.S.G. envia a los medios.,envelope-open-text
Anonymity & Safety,Safety and A.A.,Seguridad y A.A.,https://www.aa.org/safety-and-aa-flyer,Our common welfare comes first — safety in A.A. groups.,Nuestro bienestar comun es primero.,shield-heart
Anonymity & Safety,Safety Card for A.A. Groups,Tarjeta de Seguridad,https://www.aa.org/safety-card-aa-groups,A card a group can read at the start of a meeting.,Una tarjeta que el grupo puede leer al inicio.,id-card
Self-Support,Self-Support: Where Money and Spirituality Mix,Automantenimiento,https://www.aa.org/self-support-where-money-and-spirituality-mix,The Seventh Tradition in practice.,La Septima Tradicion en la practica.,hand-holding-dollar
Self-Support,A.A. Contributions & Self-Support,Contribuciones y Automantenimiento,https://www.aa.org/aa-contributions-self-support,"Where contributions go, and the limits we place on them.",A donde van las contribuciones y sus limites.,coins
Literature,A.A. Literature,Literatura de A.A.,https://www.aa.org/aa-literature,Conference-approved books and pamphlets.,Libros y folletos aprobados por la Conferencia.,book
Literature,Alcoholics Anonymous (the Big Book) online,El Libro Grande en linea,https://www.aa.org/big-book-online,"Read the Big Book free, in full.",Lee el Libro Grande gratis y completo.,book-open
Literature,Twelve Steps and Twelve Traditions online,Doce Pasos y Doce Tradiciones,https://www.aa.org/twelve-steps-twelve-traditions,"Read the ""12 & 12"" free, in full.","Lee el ""12 y 12"" gratis y completo.",book-open
Literature,A.A. Grapevine,A.A. Grapevine,https://www.aagrapevine.org/,"Our meeting in print, since 1944.",Nuestra reunion impresa desde 1944.,newspaper
Literature,La Vina,La Vina,https://www.aalavina.org/,La revista de A.A. en espanol.,La revista de A.A. en espanol.,newspaper
Nearby Central Offices,Orange County Central Office,Oficina Central del Condado de Orange,https://www.oc-aa.org/,,,building
Nearby Central Offices,North Orange County Intergroup,Intergrupo del Norte del Condado de Orange,https://www.aanoc.org/,,,building
Nearby Central Offices,Harbor Area Central Office,Oficina Central del Area del Puerto,https://hacoaa.org/,,,building
Nearby Central Offices,Alano South Bay Central Office,Oficina Central de South Bay,https://asbco.org/,,,building
Nearby Central Offices,Inland Empire Central Office,Oficina Central del Inland Empire,https://aainlandempire.org/,,,building
Nearby Central Offices,A.A. in the Desert (Coachella Valley),A.A. en el Desierto,https://aainthedesert.org/,,,building
Nearby Central Offices,Victor Valley Central Office,Oficina Central de Victor Valley,https://victorvalleyaa.org/,,,building
